tile,bin,row,col,seedsizer_count,objects,clumps,my_count
tile_000_verysparse_pred20,very sparse,3,0,20,20,0,
tile_001_sparse_pred38,sparse,1,1,38,36,2,
tile_002_sparse_pred45,sparse,0,1,45,42,2,
tile_003_sparse_pred59,sparse,2,0,59,57,2,
tile_004_sparse_pred67,sparse,1,0,67,61,3,
tile_005_moderate_pred82,moderate,1,3,82,81,1,
