file,true_count,count,count_ratio,true_area,area,area_ratio,n_touching,fill_pct,n_dust,note
batch_084.png,28,28,1.0,1.2519,1.2335,0.9853,0,0.869,93,
batch_085.png,19,20,1.0526,1.4343,1.5835,1.104,11,0.674,201,
batch_086.png,166,157,0.9458,0.7883,0.7668,0.9727,0,3.243,239,
batch_087.png,14,16,1.1429,0.7486,0.7114,0.9503,5,0.259,166,
batch_088.png,91,92,1.011,1.7389,1.7094,0.983,0,3.924,102,
batch_089.png,111,122,1.0991,1.3418,1.3138,0.9791,67,3.689,240,
batch_090.png,50,278,5.56,1.2892,0.2172,0.1685,48,1.595,273,
batch_091.png,90,69,0.7667,1.7662,2.0236,1.1457,76,3.936,63,
batch_092.png,57,370,6.4912,1.6612,0.2663,0.1603,54,2.344,283,
batch_093.png,84,89,1.0595,1.4244,1.4868,1.0438,80,2.96,115,
batch_094.png,35,37,1.0571,1.4052,1.3794,0.9816,5,1.218,288,
batch_095.png,156,163,1.0449,0.8496,0.8693,1.0232,94,3.28,350,
batch_096.png,50,53,1.06,1.4745,1.4433,0.9788,8,1.827,394,
batch_097.png,20,17,0.85,1.0352,0.9848,0.9513,0,0.513,126,
batch_098.png,20,26,1.3,1.2498,1.2313,0.9852,7,0.62,282,
batch_099.png,63,78,1.2381,1.1986,1.0941,0.9128,38,1.871,369,
