method,file,preset,true_count,count,count_ratio,true_area,area,area_ratio
guarded->bg+3mad,heavy_clump_0.png,heavy_clump,900,1049,1.1656,1.5357,1.4085,0.9172
guarded->bg+3mad,sparse_0.png,sparse,12,82,6.8333,0.776,0.3445,0.444
guarded->bg+3mad,sparse_clump_0.png,sparse_clump,40,192,4.8,0.9375,0.2599,0.2772
guarded->bg+3mad,field_0.png,field,1150,1203,1.0461,1.5074,1.4808,0.9823
guarded->bg+3mad,banded_0.png,banded,600,605,1.0083,1.5111,1.5025,0.9943
guarded->bg+3mad,shrivelled_0.png,shrivelled,900,907,1.0078,0.811,0.7796,0.9613
guarded->bg+3mad,dense_dark_0.png,dense_dark,1200,1237,1.0308,1.524,1.4917,0.9788
guarded->bg+4mad,healthy_0.png,healthy,900,901,1.0011,1.5115,1.4956,0.9895
guarded->bg+4mad,touching_0.png,touching,900,895,0.9944,1.5161,1.5359,1.0131
guarded->bg+4mad,heavy_clump_0.png,heavy_clump,900,1049,1.1656,1.5357,1.4085,0.9172
guarded->bg+4mad,sparse_0.png,sparse,12,65,5.4167,0.776,0.3198,0.4121
guarded->bg+4mad,sparse_clump_0.png,sparse_clump,40,175,4.375,0.9375,0.2416,0.2577
guarded->bg+4mad,field_0.png,field,1150,1203,1.0461,1.5074,1.4808,0.9823
guarded->bg+4mad,banded_0.png,banded,600,605,1.0083,1.5111,1.5025,0.9943
guarded->bg+4mad,shrivelled_0.png,shrivelled,900,907,1.0078,0.811,0.7796,0.9613
guarded->bg+4mad,dense_dark_0.png,dense_dark,1200,1237,1.0308,1.524,1.4917,0.9788
