tile,bin,row,col,seedsizer_count,objects,clumps,my_count
tile_000_empty_pred0,empty,0,0,0,0,0,0
tile_001_empty_pred0,empty,0,1,0,0,0,0
tile_002_empty_pred0,empty,0,2,0,0,0,0
tile_003_empty_pred0,empty,0,3,0,0,0,0
tile_004_verysparse_pred9,very sparse,4,1,9,6,3,6
tile_005_verysparse_pred11,very sparse,3,0,11,9,2,9
tile_006_verysparse_pred15,very sparse,3,3,15,13,2,13
tile_007_verysparse_pred17,very sparse,3,2,17,13,3,14
tile_008_sparse_pred22,sparse,3,1,22,18,2,25
